CMD,D,D,D,D,TLAST,TKEEP
DATA,0.0307512162154851,0.12659452752386113,0.016488675976007082,0.0319042024220868,0,-1
DATA,0.5016760166709376,0.13395117935561518,0.24790614110003964,0.2830858843198184,0,-1
DATA,0.43412790994533534,0.3490547564565297,1.165954983916857,0.5721001453356737,0,-1
DATA,0.5032400521131977,0.39854464287825997,3.31109689213896,0.7521951702696733,0,-1
DATA,0.5146769219108847,0.7275329630696041,3.0131881990630838,0.9006445562068768,0,-1
DATA,0.434494089315066,0.8245679179020966,1.056179854855543,0.9617134421163533,0,-1
DATA,0.4934829610669789,0.7429071416642046,4.05449295184609,1.0649789330560944,0,-1
DATA,0.6366282990833528,1.0162283227870204,2.4284760702184864,1.0541350813269739,0,-1
DATA,0.8038907628257818,1.0753191789969776,3.677273102316918,0.999576764627212,0,-1
DATA,0.9007103000861187,0.9917674468952714,4.2854300113521555,0.8242448945904791,0,-1
DATA,0.9525124319530678,1.0842037211767908,1.072024714452286,0.6433470371518795,0,-1
DATA,0.7387624189702671,1.0677023857276478,1.8737682143260432,0.41278501582941907,0,-1
DATA,0.9627703685052,1.2144600981673324,2.8490616948349827,0.1518128136056297,0,-1
DATA,0.8680387100998516,1.0963626147298078,2.1441700112234034,-0.03559625068785133,0,-1
DATA,0.7797477516311524,1.2021440165548278,1.7992659396994948,-0.3652211437057275,0,-1
DATA,1.3070458878824942,1.1149636178580553,0.9829849393941019,-0.5640394653398657,0,-1
DATA,1.2211996912810175,0.9965668209683668,3.4043270009467865,-0.7527655207790968,0,-1
DATA,1.2314985140045418,1.06767453886903,2.7179855589166153,-0.8409598693755148,0,-1
DATA,0.9948622101035332,0.816638970614799,2.822007476109801,-0.8986045652020077,0,-1
DATA,1.3177537618240622,0.8525411287856796,0.3148615061104208,-0.9220139342145983,0,-1
DATA,1.2193826228544533,0.7440052124576375,0.9617697421744202,-0.9121325265101538,0,-1
DATA,1.3203909859270826,0.7268697690063203,-0.3739792860808147,-0.8119514800123303,0,-1
DATA,1.3978716374706244,0.5978255326139271,-0.5066674843768132,-0.6227086671760795,0,-1
DATA,1.108962227945941,0.45304674511933946,-0.3887275759278047,-0.39591506638667595,0,-1
DATA,1.0222082088969573,0.13707059977100522,0.8730390013095711,-0.19844397370275368,0,-1
DATA,1.0877477923344487,0.2121037681913108,1.3794792433124026,0.027533891717912807,0,-1
DATA,1.412876904349428,0.09422014967471137,0.1013764676549248,0.31708127710317674,0,-1
DATA,1.2750706356573984,-0.1824101609961066,-0.06677072906843173,0.5011528028645584,0,-1
DATA,1.0975270789322475,-0.26271516298756825,2.1684471408866033,0.7127560613798237,0,-1
DATA,1.4110194877244975,-0.24844267688900676,0.8304114931900841,0.8629110025262697,0,-1
DATA,0.9958424756987971,-0.5693065757094161,0.8805487603482185,0.9796229836515832,0,-1
DATA,1.3725386680577585,-0.6533155972458431,0.979971778461878,1.0108386752065646,0,-1
DATA,1.0321200949828275,-0.7672158774321206,0.2702372288172885,0.9947588614043805,0,-1
DATA,1.3725774343146362,-0.8330910601728114,0.6266376094615426,0.9214033303963501,0,-1
DATA,1.095185877076519,-0.7920431216693091,0.3111098051811811,0.8358392433419847,0,-1
DATA,1.215781800161242,-0.9094393060092103,2.2687840330110594,0.6102512767014306,0,-1
DATA,0.8719008045932813,-0.9003676827519673,2.1500263606470256,0.38729350027257736,0,-1
DATA,1.1948574808917,-0.7633080284738503,0.9582494086826205,0.18532000346483135,0,-1
DATA,0.8669696195630696,-0.9571199610311436,1.5690246192833261,-0.107189015918348,0,-1
DATA,0.8130471410680646,-0.7469043922621981,3.213987120831208,-0.3690983681220472,0,-1
DATA,1.0799370400786314,-0.7578289710466556,2.225514656874266,-0.5849485071763829,0,-1
DATA,0.9043623554604472,-0.8296574254688578,2.1036491310468994,-0.7758166875769666,0,-1
DATA,0.5336708917034301,-0.7275307957780691,3.8477709277903407,-0.8859533859386577,0,-1
DATA,0.5382403374743197,-0.7002783962267611,1.0378532725260892,-0.9620935202218078,0,-1
